iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
AUS,2001,218816.3021,28262425.25
AUS,2002,312150.1627,36810890.65
AUS,2003,373846.6091,60699174.05
AUS,2004,124768.677,36375750.49
AUS,2005,177023.6081,39738611.59
AUS,2006,186303.9394,43980589.34
AUS,2007,372716.7841,78240409.33
AUS,2008,205724.854,49080440.75
AUS,2009,203711.0919,63425159.39
AUS,2010,290725.4987,48932083.86
AUS,2011,121315.7073,43825719.42
AUS,2012,139802.7577,45021089.62
AUS,2013,260094.1396,75061536.39
AUS,2014,281737.5241,83549012.16
AUS,2015,261575.0042,70091416.31
AUS,2016,430902.9031,126908103.5
AUS,2017,236876.4576,90160976.63
AUS,2018,250750.6987,79668512.03
AUS,2019,1661547.603,361196739
AUS,2020,2356516.288,685385987.8
AUS,2021,261043.5535,100850472.2
AUS,2022,118987.4349,51269985.13
