iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,umd_tree_cover_loss_from_fires__ha
AUS,2001,218816.3021,154497.154
AUS,2002,312150.1627,235574.3467
AUS,2003,373846.6091,251901.6694
AUS,2004,124768.677,30741.14027
AUS,2005,177023.6081,83971.09972
AUS,2006,186303.9394,86711.35363
AUS,2007,372716.7841,232267.242
AUS,2008,205724.854,105540.5962
AUS,2009,203711.0919,91428.96842
AUS,2010,290725.4987,206123.66
AUS,2011,121315.7073,33921.11006
AUS,2012,139802.7577,52661.33733
AUS,2013,260094.1396,177481.2139
AUS,2014,281737.5241,181834.6184
AUS,2015,261575.0042,173113.9682
AUS,2016,430902.9031,282037.2795
AUS,2017,236876.4576,114605.4408
AUS,2018,250750.6987,151099.1159
AUS,2019,1661547.603,1526819.098
AUS,2020,2356516.288,1957826.814
AUS,2021,261043.5535,132480.9961
AUS,2022,118987.4349,56819.62519
